id,date,code_rows_commits,builds_failed,tests_failed,deliveries_failed,cc_issues,gh_issues,anomaly

1,2019-07-04,22.57,0.04,0.06,0.08,0.0,0.0,0
2,2019-07-05,59,2,3,5,0,1,0
3,2019-07-06,87,1,4,6,0,1,0
4,2019-07-07,13,1,3,6,0,0,0
5,2019-07-08,130,3,4,5,1,0,0
6,2019-07-09,135,3,6,8,3,0,0
7,2019-07-10,27,2,4,7,6,0,0
8,2019-07-11,10,2,4,6,4,0,0
9,2019-07-12,40,0,1,3,6,0,0
10,2019-07-13,21,3,5,6,6,0,0
11,2019-07-14,33,3,5,6,6,0,0
12,2019-07-15,65,6,8,10,8,0,0
13,2019-07-16,90,3,4,6,8,0,0
14,2019-07-17,114,6,7,10,13,0,0
16,2019-07-19,44,3,4,5,13,0,0
17,2019-07-22,123,4,6,8,17,0,0
19,2019-07-25,100,3,4,5,23,0,0
20,2019-07-26,42,1,5,6,23,0,0
21,2019-07-29,94,1,3,4,8,0,0
23,2019-07-31,28,5,6,8,15,0,0
25,2019-08-08,35,6,7,8,0,0,0
